species,habitat,long,lat,air_temp_dryQ_C,max_air_temp_C,mean_annual_sst_C,pp_mean,sss_saltiest_month_psu,sst_warmest_month_C,tidal_range_minmax_fill_m,topo_bath,topo_bath_slope
bengalensis,mangrove,75.595998,11.553457,27.59166654,31.79999924,27.62,0.021487053,35.29,29.67,1.546481718,3.795613152,0.391251017
bengalensis,mangrove,75.53595026,11.70997102,27.48333359,31.89999962,27.89,0.0222916,35.25,29.78,1.560399548,18.08378009,0.319959714
bengalensis,mangrove,75.346668,11.929932,27.70000013,32.29999924,27.18,0.020298498,35.15,29.5,1.575933979,7.337316689,0.469977247
bengalensis,mangrove,75.314275,11.955978,27.59999975,32.29999924,26.03,0.020552663,35.14,28.07,1.58495088,5.687363247,0.152461855
bengalensis,mangrove,75.27198351,12.02690343,27.67500003,32.3375001,27.53,0.020297525,35.11,30.89,1.610292575,15.17532501,0.73109595
bengalensis,mangrove,75.230132,12.03063405,27.66666667,32.20000076,27.58333333,0.019468575,35.10333333,30.73,1.617810811,13.12194242,1.518615868
bengalensis,mangrove,74.78653201,13.07633406,27.19999981,32.29999924,27.82111111,0.015813715,34.91,29.38,1.879784158,7.465501319,0.491153796
bengalensis,mangrove,74.69557436,13.46954682,26.93333371,31.79999924,27.36,0.015976987,34.91,30.98,2.033770394,6.337996088,0.256398963
bengalensis,mangrove,74.67170823,13.6233125,26.91666667,31.70000076,28.0575,0.016293373,34.91,29.845,2.071299235,3.865758977,0.263092592
bengalensis,mangrove,74.65211998,13.66677552,26.85000006,31.79999924,27.695,0.016498493,34.91,29.755,2.07741352,12.98318585,0.703395179
bengalensis,mangrove,74.37882761,14.49599854,26.51666641,31.70000076,28.09,0.027838758,35.23,29.68,2.285388328,1.93553167,0.2058378
bengalensis,mangrove,73.89402537,15.40643491,26.5,32.79999924,27.5,0.026316625,35.81,30.11,2.397572212,14.07956675,1.707007417
bengalensis,mangrove,73.78128248,15.49763647,26.36666679,31.70000076,27.555,0.027607718,35.8875,29.8275,2.403901743,28.89637539,0.512478344
bengalensis,mangrove,73.72414087,15.72646276,26.35000006,32.40000153,26.68,0.02559875,35.96666667,28.7,2.429030287,5.712703301,0.589622386
bengalensis,mangrove,73.68454308,15.75374493,26.38333352,32.79999924,27.23475,0.02560525,35.97925,29.1055,2.431823023,6.41933536,1.13117597
bengalensis,mangrove,73.65952956,15.79444226,26.36666648,32.59999847,27.74,0.025663825,35.99,29.47,2.434211873,13.53262801,0.700474427
bengalensis,mangrove,73.62515084,15.85899599,26.13333321,32.40000153,27.51,0.025507225,36.01,30.03,2.439482629,30.78787465,0.946903103
bengalensis,mangrove,73.46897738,16.07389684,26.13333289,32.40000153,27.79,0.02009949,36.07,29.07,2.482123425,4.059630634,0.525089501
bengalensis,mangrove,73.44281369,16.20417232,26.16666667,32.5,26.41,0.017590913,36.1,27.98,2.527467107,5.492098613,0.38079376
bengalensis,mangrove,73.42192439,16.28491561,26.28333346,32.09999847,27.73,0.01627577,36.126875,28.95,2.543290511,5.667013054,0.587982582
bengalensis,mangrove,73.39408139,16.35553323,26.06666692,32.40000153,27.64,0.013751438,36.14,29.06,2.59196736,11.57160925,1.265264272
bengalensis,mangrove,82.26882622,16.95561103,26.26333351,35.55999985,27.79333333,0.038783313,34.36666667,29.49333333,1.685670349,1.394115097,0.158725418
bengalensis,mangrove,73.36245957,16.4423223,26,32.40000153,26.46,0.013217382,36.17,28.38,2.62605281,25.91703484,1.225092768
bengalensis,mangrove,73.35970343,16.54156873,26.01666673,32.40000153,26.05,0.011508018,36.18,28.17,2.671399318,15.20765843,0.404665168
bengalensis,mangrove,73.32111541,16.80696401,25.89999962,32.40000153,27.7,0.006922,36.22666667,29.11666667,2.798225381,7.856942287,0.760706583
bengalensis,mangrove,73.29868829,16.86086141,25.84999975,32.59999847,27.66,0.006857217,36.24,28.96,2.830214259,7.200223863,1.392507037
bengalensis,mangrove,73.31204921,16.89329644,25.78333314,32.20000076,27.82,0.005589598,36.24,29.28,2.839085374,28.03434839,0.942184139
bengalensis,mangrove,73.05194115,17.90710757,25.6833334,31.89999962,27.26,0.00734141,36.33,29.16,3.449661804,11.53860931,1.877270752
bengalensis,mangrove,82.2476112,16.93196408,26.03333314,35.20000076,27.44,0.038785113,34.37,29.46,1.669768374,3.467432621,0.95629661
bengalensis,mangrove,81.17746923,16.14581927,26.36666711,35.70000076,27.86814815,0.03753715,33.94851852,29.63037037,1.478564552,5.629248623,0.037982974
bengalensis,mangrove,69.72363685,22.46938267,24.78333346,33.90000153,26.21,0.013065083,36.56,29.61,4.237090663,-2.741718685,0.171718411
bengalensis,mangrove,81.18705377,16.14246902,26.36666679,35.59999847,27.86444444,0.03750825,33.94888889,29.63,1.479760709,5.21053946,0.010358455
bengalensis,mangrove,81.10231482,15.97157417,26.38333321,35.09999847,27.99592593,0.03406625,33.92481481,29.71777778,1.458168545,3,0.024464814
bengalensis,mangrove,79.79751,11.434962,27.93333308,34.40000153,27.59,0.0166097,34.176875,28.74,1.04841259,1.845091505,0.060040898
bengalensis,mangrove,78.15973649,8.77004203,29.66666667,33.90000153,27.61,0.025091638,35,30.27,0.891425221,-1.460196594,0.101403672
bengalensis,mangrove,76.239211,9.981729,27.91666667,32,28.01,0.025598463,34.9,30.95,1.313394392,4.276185383,0.184209968
bengalensis,mangrove,75.91748561,10.78368279,27.86666679,32,26.38,0.022414128,35.33,28.52,1.403914211,-1.676918414,0.198246125
bengalensis,mangrove,75.84113108,11.13771116,27.76666673,32.09999847,27.77,0.021216028,35.37,29.71,1.473584873,10.44836652,0.389477934
carinifera,mangrove,73.72414087,15.72646276,26.35000006,32.40000153,26.68,0.02559875,35.96666667,28.7,2.429030287,5.712703301,0.589622386
carinifera,mangrove,73.68381822,15.75375139,26.38333352,32.79999924,27.23475,0.02560525,35.97925,29.1055,2.431823023,6.41933536,1.13117597
carinifera,mangrove,73.46897738,16.07389684,26.13333289,32.40000153,27.79,0.02009949,36.07,29.07,2.482123425,4.059630634,0.525089501
carinifera,mangrove,73.32111541,16.80696401,25.89999962,32.40000153,27.7,0.006922,36.22666667,29.11666667,2.798225381,7.856942287,0.760706583
carinifera,mangrove,73.05081706,17.90675864,25.6833334,31.89999962,27.26,0.00734141,36.33,29.16,3.449661804,11.53860931,1.877270752
carinifera,mangrove,72.99491093,18.18495903,25.46666686,33.09999847,27.31444444,0.00639235,36.32,29.105,3.81769637,3.775758305,0.156900141
carinifera,mangrove,72.73396058,19.62764039,24.99999968,34.09999847,26.880625,0.01013872,36.27,29.7475,4.179282079,3.605779371,0.419445868
carinifera,mangrove,72.65343346,19.84853111,24.4083333,34.77499962,27.2,0.011282178,36.27,30.42,3.838894612,-1.966151868,0.302167707
carinifera,mangrove,72.71262864,20.02646064,24.81666692,34.40000153,27.12,0.012062185,36.26,30.22,4.641784376,-2.906431933,0.29703219
carinifera,mangrove,69.36987419,21.83673145,25.01666641,36,26.318,0.00473565,36.65,28.8,2.932533872,7.645866185,0.296598794
carinifera,mangrove,69.72363685,22.46938267,24.78333346,33.90000153,26.21,0.013065083,36.56,29.61,4.237090663,-2.741718685,0.171718411
carinifera,mangrove,68.63648959,23.22379058,27.46666718,35.70000076,24.95,0.015997748,36.6,28.36,3.743023048,2.19063567,0.347415773
leucosticta,rocky,75.73609988,11.33122031,27.63333321,32.09999847,28.0025,0.021433988,35.3425,30.255,1.503388186,8.804569953,0.55807979
leucosticta,rocky,75.45354475,11.77120392,27.46666654,31.5,27.92,0.0212105,35.22,29.79,1.563590346,3.698029354,0.566018308
leucosticta,rocky,75.4032069,11.83850935,27.66666654,32.24000015,27.76,0.0206198,35.19,29.7,1.567497563,5.331113143,1.044501087
leucosticta,rocky,75.319508,11.911221,27.53333378,32,27.175,0.020498383,35.15,29.2725,1.578031191,11.46518328,0.753485686
leucosticta,rocky,75.21363867,12.01037851,27.50000032,31.89999962,27.765,0.019420855,35.1,30.185,1.600921758,19.05648325,2.692479567
leucosticta,rocky,75.21868357,12.0120155,27.39444447,31.83333333,27.7075,0.019556765,35.1025,30.3575,1.59894685,12.19673512,2.055965403
leucosticta,rocky,74.78960222,13.00351493,27.17222246,32.20000076,28.08,0.01527106,34.91,30,1.854344419,0.977449595,0.654246116
leucosticta,rocky,74.52641062,13.97438047,26.90555562,32.26666641,28.11333333,0.018596935,34.94,29.81666667,2.176009262,2.756075751,0.719224003
leucosticta,rocky,83.26355084,17.65129851,24.46666686,34.70000076,27.47,0.014142398,33.99,28.81,1.767414154,22.85242921,4.704436514
leucosticta,rocky,74.2815355,14.65415256,26.58749986,32.15000057,27.805,0.034618125,35.3525,29.9225,2.301614379,3.411877524,0.329705597
leucosticta,rocky,74.26282014,14.70495352,26.53888904,31.83333333,27.97,0.032066325,35.378,29.63,2.304479384,2.04307316,0.276080592
leucosticta,rocky,73.73262159,15.60388187,26.40833346,32.20000076,27.79,0.026438375,35.94,29.61,2.414283022,-2.526120481,0.698094019
leucosticta,rocky,83.26064886,17.64900933,24.18333318,34.46666718,27.47,0.014147013,33.99,28.81,1.767331057,14.63074836,2.732891556
leucosticta,rocky,73.45563188,16.06175523,26.1833334,32.40000153,27.79,0.020031413,36.07,29.35,2.480999576,-0.565078257,0.389771631
leucosticta,rocky,83.3873663,17.78061317,24.21666654,34.60000038,27.45,0.01474102,34.01,28.94,1.789645747,8.437051068,1.381575501
leucosticta,rocky,73.3368749,16.63850812,25.95333316,32.15999908,27.18666667,0.00774133,36.2,28.73666667,2.7136332,6.520462297,1.045847291
leucosticta,rocky,69.34826422,22.81956098,24.93333364,37.14999962,26.46,0.00947075,36.59,29.91,3.741335695,1.160217161,0.341724362
leucosticta,rocky,80.2538343,12.79026398,28.18333308,36.20000076,27.78,0.013784528,34.35,28.86,1.209121854,2.852262808,0.281488218
leucosticta,rocky,79.83645986,11.93472404,28.00416652,35.125,27.7175,0.014730875,34.3975,28.905,1.075713056,4.68619127,0.496500687
leucosticta,rocky,79.83015331,11.90342861,28.04999987,35,27.7,0.014787025,34.39,29.19,1.073435888,1.505877859,0.429353294
leucosticta,rocky,79.17872421,9.28087201,29,32.79999924,28.34285714,0.016125602,35.3,30.19571429,0.42862734,0.763893896,0.018985317
leucosticta,rocky,79.16364038,9.27882263,29,32.79999924,28.41666667,0.016375233,35.30666667,30.28833333,0.431269771,2.981480535,0.07594199
leucosticta,rocky,79.38183105,9.19866297,28.53333325,31.43333308,28.27,0.012990348,35.2,30.27,0.661518042,-4.192233568,0.085266172
leucosticta,rocky,78.12638506,8.50184955,29.29583335,33.42499924,27.6,0.027944045,35,29.59,0.872471956,-1.014736939,0.252058631
leucosticta,rocky,78.12928847,8.49502626,29.01666673,33,27.866,0.027946855,35.002,29.916,0.871561343,5.367167023,0.26218137
leucosticta,rocky,78.125929,8.4904712,29.11666648,33.16666667,27.93,0.027949665,35,29.99,0.87065073,-0.979797267,0.380250738
leucosticta,rocky,77.53441315,8.07780831,27.76666673,32.29999924,26.81333333,0.034588925,35.18666667,28.91,0.898166485,16.42925863,1.199623817
leucosticta,rocky,77.31491047,8.12369529,27.51666641,31.44999981,27.09,0.03587525,35.19,28.39,0.907232144,0.219735198,1.115046438
leucosticta,rocky,76.9828229,8.38130822,27.42222224,31.36666616,26.94,0.03724575,35.09,28.24,0.958894044,-0.593517649,1.513079534
leucosticta,rocky,76.97236866,8.39918884,27.43749992,31.37499952,26.63,0.03724785,35.08,28.31,0.959740188,4.190355321,1.769289627
leucosticta,rocky,76.70729533,8.73063829,27.48333316,31,27.35,0.0365962,34.91,29.26,0.994927111,1.096911484,1.157007013
malaccana,rocky,75.4032069,11.83850935,27.66666654,32.24000015,27.76,0.0206198,35.19,29.7,1.567497563,5.331113143,1.044501087
malaccana,rocky,75.21728799,12.01170981,27.39444447,31.83333333,27.7075,0.019556765,35.1025,30.3575,1.59894685,12.19673512,2.055965403
malaccana,rocky,74.79056178,13.00070071,27.17222246,32.20000076,28.08,0.01527106,34.91,30,1.854344419,0.977449595,0.654246116
malaccana,rocky,74.65198813,13.66505882,26.85416667,31.82499933,27.87,0.016474508,34.91,29.73,2.076806104,3.682249028,0.618876632
malaccana,rocky,74.52641062,13.97438047,26.90555562,32.26666641,28.11333333,0.018596935,34.94,29.81666667,2.176009262,2.756075751,0.719224003
malaccana,rocky,74.46003584,14.20071306,26.54999987,32,27.96,0.020741615,35.04,29.6,2.238029226,40.26379101,2.26767963
malaccana,rocky,74.31884101,14.51926754,26.46666686,31.60000038,28.02,0.0311704,35.27,29.8425,2.288472376,18.97560726,1.815670061
malaccana,rocky,74.2815355,14.65415256,26.58749986,32.15000057,27.805,0.034618125,35.3525,29.9225,2.301614379,3.411877524,0.329705597
malaccana,rocky,74.26282014,14.70495352,26.53888904,31.83333333,27.97,0.032066325,35.378,29.63,2.304479384,2.04307316,0.276080592
malaccana,rocky,83.26355084,17.65129851,24.46666686,34.70000076,27.47,0.014142398,33.99,28.81,1.767414154,22.85242921,4.704436514
malaccana,rocky,73.73262159,15.60388187,26.40833346,32.20000076,27.79,0.026438375,35.94,29.61,2.414283022,-2.526120481,0.698094019
malaccana,rocky,73.69986042,15.69250977,26.22916667,32.35000038,27.64,0.025991783,35.96,29.41,2.42581209,5.272072876,1.850120711
malaccana,rocky,83.26064886,17.64900933,24.18333318,34.46666718,27.47,0.014147013,33.99,28.81,1.767331057,14.63074836,2.732891556
malaccana,rocky,73.45585593,16.06158684,26.1833334,32.40000153,27.79,0.020031413,36.07,29.35,2.480999576,-0.565078257,0.389771631
malaccana,rocky,73.45821912,16.08559923,26.12499968,32.29999924,27.78,0.020134688,36.08,29.38,2.486107852,-2.260940773,0.253276651
malaccana,rocky,73.3368749,16.63850812,25.95333316,32.15999908,27.18666667,0.00774133,36.2,28.73666667,2.7136332,6.520462297,1.045847291
malaccana,rocky,73.0517632,17.90706684,25.6833334,31.89999962,27.26,0.00734141,36.33,29.16,3.449661804,11.53860931,1.877270752
malaccana,rocky,73.01897404,17.99265135,25.66666635,32.20000076,27.384,0.007664175,36.33,29.504,3.481486464,9.035264289,0.749452658
malaccana,rocky,72.96867449,18.20538145,25.48333327,32.29999924,27.025,0.00634785,36.32,28.63,3.811031488,8.285618403,2.302029238
malaccana,rocky,72.95109177,18.33585156,25.33333333,32.20000076,27.34,0.00524445,36.32,29.42,3.927527731,34.66069753,3.203909432
malaccana,rocky,72.86438207,18.65544615,25.39444457,33.26666641,27.46,0.006197053,36.31,30.34,4.635425949,1.185127506,0.286573616
malaccana,rocky,72.65343346,19.84853111,24.4083333,34.77499962,27.2,0.011282178,36.27,30.42,3.838894612,-1.966151868,0.302167707
malaccana,rocky,72.71087665,20.02535943,24.81666692,34.40000153,27.12,0.012062185,36.26,30.22,4.641784376,-2.906431933,0.29703219
malaccana,rocky,70.958009,20.705862,23.23333359,35.20000076,26.33666667,0.013399383,36.6,28.27333333,2.665818991,3.962722846,0.776338857
malaccana,rocky,70.895754,20.706291,23.32916673,35.27499962,26.32,0.013093237,36.61,28.27,2.578640424,1.621162613,0.694155767
malaccana,rocky,70.984554,20.708272,23.81111113,34.96666718,26.34,0.0137716,36.6,28.29,2.665818991,-2.291387582,0.699849557
malaccana,rocky,70.5637934,20.79376797,25.54999987,36,26.3325,0.0095605,36.6875,28.1425,2.578360289,3.020107636,0.47760249
malaccana,rocky,70.44811869,20.84977635,25.37777805,35.90000153,26.31,0.008959577,36.71,28.1,2.602528987,-8.159318322,0.678186232
malaccana,rocky,70.4478866,20.85025412,25.38333352,35.90000153,26.305,0.008957612,36.71,28.1025,2.602528987,4.254014017,0.524373031
malaccana,rocky,70.22712562,20.99958753,25.53888872,35.06666692,26.37,0.00625285,36.75,28.61,2.665176302,-1.444927796,0.680202185
malaccana,rocky,70.22666906,21.00029027,25.54999987,35,26.37,0.00624115,36.75,28.61,2.665176302,6.650636177,0.420553444
malaccana,rocky,69.92863993,21.28623731,27.23333359,36.40000153,26.18333333,0.004623187,36.76,28.05666667,2.774827789,4.491818062,0.508336979
malaccana,rocky,83.3873663,17.78061317,24.21666654,34.60000038,27.45,0.01474102,34.01,28.94,1.789645747,8.437051068,1.381575501
malaccana,rocky,69.60888206,21.63076739,25.01666673,35.59999847,25.88,0.004948528,36.7,28.16,2.852904382,4.320349743,0.364811976
malaccana,rocky,69.09598268,22.09025368,27.26249973,35.67499924,25.34,0.005138398,36.59,27.81,3.125488019,0.367135006,0.572895837
